id,name,address
786,Indian River Medical Center,"1000 36th St, Vero Beach, FL, 32960"
787,Doctor's Memorial Hospital Inc,"333 N Byron Butler Pkwy, Perry, FL, 32348"
788,Lehigh Regional Medical Center,"1500 Lee Blvd, Lehigh Acres, FL, 33936"
789,Florida Hospital Heartland Medical Center,"4200 Sun N Lake Blvd, Sebring, FL, 33871"
790,Osceola Regional Medical Center,"700 West Oak Street, Kissimmee, FL, 34741"
791,Uf Health Shands Hospital,"1600 Sw Archer Rd, Gainesville, FL, 32610"
792,Baptist Medical Center - Beaches,"1350 13th Ave S, Jacksonville Beach, FL, 32250"
793,Florida Hospital Flagler,"60 Memorial Medical Pkwy, Palm Coast, FL, 32164"
794,Bartow Regional Medical Center,"2200 Osprey Blvd, Bartow, FL, 33831"
795,North Okaloosa Medical Center,"151 Redstone Ave Se, Crestview, FL, 32539"
796,Santa Rosa Medical Center,"6002 Berryhill Rd, Milton, FL, 32570"
797,Homestead Hospital,"975 Baptist Way, Homestead, FL, 33033"
798,Palms Of Pasadena Hospital,"1501 Pasadena Ave S, Saint Petersburg, FL, 33707"
799,Morton Plant Hospital,"300 Pinellas St, Clearwater, FL, 33756"
800,Tampa General Hospital,"1 Tampa General Cir, Tampa, FL, 33606"
801,Lakeside Medical Center,"39200 Hooker Hwy, Belle Glade, FL, 33430"
802,Aventura Hospital And Medical Center,"20900 Biscayne Blvd, Aventura, FL, 33180"
803,South Florida Baptist Hospital,"301 N Alexander St, Plant City, FL, 33563"
804,Ed Fraser Memorial Hospital,"159 N 3rd St, Macclenny, FL, 32063"
805,Tallahassee Memorial Hospital,"1300 Miccosukee Rd, Tallahassee, FL, 32308"
806,Heart Of Florida Regional Medical Center,"40100 Us Hwy 27 N, Davenport, FL, 33837"
807,Baptist Medical Center - Nassau,"1250 S 18th St, Fernandina Beach, FL, 32034"
808,Jackson Hospital,"4250 Hospital Dr, Marianna, FL, 32446"
809,Lower Keys Medical Center,"5900 College Road, Key West, FL, 33040"
810,Mayo Clinic,"4500 San Pablo Rd, Jacksonville, FL, 32224"
811,South Miami Hospital,"6200 Sw 73rd St, South Miami, FL, 33143"
812,Lake City Medical Center,"340 Nw Commerce Dr, Lake City, FL, 32055"
813,Lakeland Regional Medical Center,"1324 Lakeland Hills Blvd, Lakeland, FL, 33805"
814,Central Florida Regional Hospital,"1401 W Seminole Blvd, Sanford, FL, 32771"
815,Doctors Hospital Of Sarasota,"5731 Bee Ridge Rd, Sarasota, FL, 34233"
816,Plantation General Hospital,"401 Nw 42nd Ave, Plantation, FL, 33317"
817,Boca Raton Regional Hospital,"800 Meadows Rd, Boca Raton, FL, 33486"
818,Florida Hospital Tampa,"3100 E Fletcher Ave, Tampa, FL, 33613"
819,Desoto Memorial Hospital,"900 N Robert Ave, Arcadia, FL, 34265"
820,Palm Beach Gardens Medical Center,"3360 Burns Rd, Palm Beach Gardens, FL, 33410"
821,Cape Canaveral Hospital,"701 W Cocoa Beach Causeway, Cocoa Beach, FL, 32932"
822,Memorial Hospital Jacksonville,"3625 University Blvd S, Jacksonville, FL, 32216"
823,St Petersburg General Hospital,"6500 38th Ave N, Saint Petersburg, FL, 33710"
824,Larkin Community Hospital,"7031 Sw 62nd Ave, South Miami, FL, 33143"
825,Coral Gables Hospital,"3100 Douglas Rd, Coral Gables, FL, 33134"
826,Palmetto General Hospital,"2001 W 68th St, Hialeah, FL, 33016"
827,Northwest Medical Center,"2801 N State Rd 7, Margate, FL, 33063"
828,Medical Center Of Trinity,"9330 Sr 54, Ste 401, Trinity, FL, 34655"
829,Broward Health Imperial Point,"6401 N Federal Hwy, Fort Lauderdale, FL, 33308"
830,North Florida Regional Medical Center,"6500 Newberry Rd, Gainesville, FL, 32605"
831,Memorial Hospital Of Tampa,"2901 W Swann Ave, Tampa, FL, 33609"
832,Kendall Regional Medical Center,"11750 Bird Rd, Miami, FL, 33175"
833,Bayfront Health Dade City,"13100 Ft King Rd, Dade City, FL, 33525"
834,Ocala Regional Medical Center,"1431 Sw 1st Ave, Ocala, FL, 34478"
835,Blake Medical Center,"2020 59th St W, Bradenton, FL, 34209"
836,Sebastian River Medical Center,"13695 Us Hwy 1, Sebastian, FL, 32978"
837,Gulf Coast Medical Center Lee Mem Health System,"13681 Doctors Way, Fort Myers, FL, 33912"
838,Fort Walton Beach Medical Center,"1000 Mar-walt Dr, Fort Walton Beach, FL, 32547"
839,University Hospital And Medical Center,"7201 N University Dr, Tamarac, FL, 33321"
840,Orange Park Medical Center,"2001 Kingsley Ave, Orange Park, FL, 32073"
841,Westside Regional Medical Center,"8201 W Broward Blvd, Plantation, FL, 33324"
842,Memorial Hospital Pembroke,"7800 Sheridan St, Pembroke Pines, FL, 33024"
843,West Florida Hospital,"8383 N Davis Hwy, Pensacola, FL, 32514"
844,Putnam Community Medical Center,"611 Zeagler Dr, Palatka, FL, 32177"
845,Fawcett Memorial Hospital,"21298 Olean Blvd, Port Charlotte, FL, 33952"
846,Northside Hospital,"6000 49th St N, Saint Petersburg, FL, 33709"
847,Anne Bates Leach Eye Hospital,"900 Nw 17th St, Miami, FL, 33136"
848,Gulf Coast Regional Medical Center,"449 W 23rd St, Panama City, FL, 32405"
849,Brandon Regional Hospital,"119 Oakfield Dr, Brandon, FL, 33511"
850,Cape Coral Hospital,"636 Del Prado Blvd, Cape Coral, FL, 33990"
851,Lawnwood Regional Medical Center & Heart Institute,"1700 S 23rd St, Fort Pierce, FL, 34950"
852,Largo Medical Center,"201 14th St Sw, Largo, FL, 33770"
853,Seven Rivers Regional Medical Center,"6201 N Suncoast Blvd, Crystal River, FL, 34428"
854,Raulerson Hospital,"1796 Hwy 441 North, Okeechobee, FL, 34972"
855,Jupiter Medical Center,"1210 S Old Dixie Hwy, Jupiter, FL, 33458"
856,Capital Regional Medical Center,"2626 Capital Medical Blvd, Tallahassee, FL, 32308"
857,Tampa Community Hospital,"6001 Webb Rd, Tampa, FL, 33615"
858,Regional Medical Center Bayonet Point,"14000 Fivay Rd, Hudson, FL, 34667"
859,Delray Medical Center,"5352 Linton Blvd, Delray Beach, FL, 33484"
860,South Bay Hospital,"4016 Sun City Center Blvd, Sun City Center, FL, 33573"
861,St Lucie Medical Center,"1800 Se Tiffany Ave, Port Saint Lucie, FL, 34952"
862,Oak Hill Hospital,"11375 Cortez Blvd, Brooksville, FL, 34613"
863,Mease Countryside Hospital,"3231 Mcmullen Booth Rd, Safety Harbor, FL, 34695"
864,Gulf Breeze Hospital,"1110 Gulf Breeze Pkwy, Gulf Breeze, FL, 32561"
865,Englewood Community Hospital,"700 Medical Blvd, Englewood, FL, 34223"
866,West Boca Medical Center,"21644 State Rd 7, Boca Raton, FL, 33428"
867,Palms West Hospital,"13001 Southern Blvd, Loxahatchee, FL, 33470"
868,Wellington Regional Medical Center Llc,"10101 Forest Hill Blvd, Wellington, FL, 33414"
869,Broward Health Coral Springs,"3000 Coral Hills Dr, Coral Springs, FL, 33065"
870,Douglas Gardens Hospital,"5200 Ne 2nd Ave, Miami, FL, 33137"
871,Memorial Hospital West,"703 N Flamingo Rd, Pembroke Pines, FL, 33028"
872,Westchester General Hospital,"2500 Sw 75th Ave, Miami, FL, 33155"
873,Memorial Hospital Miramar,"1901 Sw 172nd Ave, Miramar, FL, 33029"
874,Physicians Regional Medical Center - Pine Ridge,"6101 Pine Ridge Road, Naples, FL, 34119"
875,Good Samaritan Medical Center,"1309 N Flagler Dr, West Palm Beach, FL, 33401"
876,St Mary's Medical Center,"901 45th St, West Palm Beach, FL, 33407"
877,Cleveland Clinic Hospital,"3100 Weston Rd, Weston, FL, 33331"
878,"Villages Regional Hospital, The","1451 El Camino Real, The Villages, FL, 32159"
879,Wuesthoff Medical Center-melbourne,"250 North Wickham Road, Melbourne, FL, 32935"
880,Sacred Heart Hospital On The Emerald Coast,"7800 Us Hwy 98 W, Miramar Beach, FL, 32550"
881,Doctors Hospital,"5000 University Dr, Coral Gables, FL, 33146"
882,Florida State Hospital Unit 31 Med,"100 N Main St, Chattahoochee, FL, 32324"
883,Lakewood Ranch Medical Center,"8330 Lakewood Ranch Blvd, Bradenton, FL, 34202"
884,St Cloud Regional Medical Center,"2906 17th Street, Saint Cloud, FL, 34769"
885,St Vincent's Medical Center Southside,"4201 Belfort Rd, Jacksonville, FL, 32216"
886,Sacred Heart Hospital On The Gulf,"3801 E Hwy 98, Port Saint Joe, FL, 32456"
887,West Kendall Baptist Hospital,"9555 Sw 162 Ave, Miami, FL, 33196"
888,Viera Hospital,"8745 N Wickham Rd, Melbourne, FL, 32940"
889,Palm Bay Hospital,"1425 Malabar Rd, Ne, Palm Bay, FL, 32907"
890,Florida Hospital Wesley Chapel,"2600 Bruce B Downs Blvd, Wesley Chapel, FL, 33544"
891,Poinciana Medical Center,"325 Cypress Pkwy, Kissimmee, FL, 34758"
892,St Vincents Medical Center - Clay County,"1670 St Vincents Way, Middleburg, FL, 32068"
893,Regional General Hospital Williston,"125 Sw 7th St, Williston, FL, 32696"
894,Landmark Hospital Of Southwest Florida,"1285 Creekside Blvd E, Naples, FL, 34108"
895,"Miami Medical Center, The","5959 Nw 7th Ave, Miami, FL, 33126"
896,Florida Hospital Wauchula,"533 Carlton St, Wauchula, FL, 33873"
897,Shands Live Oak Regional Medical Center,"1100 Sw 11th St, Live Oak, FL, 32060"
898,Campbellton-graceville Hospital,"5429 College Dr, Graceville, FL, 32440"
899,Lake Butler Hospital,"850 E Main St, Lake Butler, FL, 32054"
900,Calhoun-liberty Hospital,"20370 Ne Burns Ave, Blountstown, FL, 32424"
901,George E Weems Memorial Hospital,"135 Ave G, Apalachicola, FL, 32320"
902,Doctors Memorial Hospital,"2600 Hospital Dr, Bonifay, FL, 32425"
903,Northwest Florida Community Hospital,"1360 Brickyard Rd, Chipley, FL, 32428"
904,Hendry Regional Medical Center,"524 W Sagamore Ave, Clewiston, FL, 33440"
905,Shands Starke Regional Medical Center,"922 E Call St, Starke, FL, 32091"
906,Madison County Memorial Hospital,"224 Nw Crane Ave, Madison, FL, 32340"
907,Fishermen's Hospital,"3301 Overseas Hwy, Marathon, FL, 33050"
908,Mariners Hospital,"91500 Overseas Highway, Tavernier, FL, 33070"
909,"All Children's Hospital, Inc","501 Sixth Avenue South, Saint Petersburg, FL, 33701"
910,Nicklaus Children's Hospital,"3100 Sw 62nd Ave, Miami, FL, 33155"
911,Shriners Hospitals For Children-tampa,"12502 Usf Pine Dr, Tampa, FL, 33612"
912,Nemours Children's Hospital,"13535 Nemours Pkwy, Orlando, FL, 32827"
913,Hamilton Medical Center,"1200 Memorial Drive, Dalton, GA, 30720"
914,Upson Regional Medical Center,"801 W Gordon Street, Thomaston, GA, 30286"
915,"Mayo Clinic Health System In Waycross, Inc","1900 Tebeau Street, Waycross, GA, 31501"
916,Northside Hospital Forsyth,"1200 Northside Forsyth Drive, Cumming, GA, 30041"
917,St Mary's Hospital,"1230 Baxter Street, Athens, GA, 30606"
918,Phoebe Putney Memorial Hospital,"417 Third Avenue, Albany, GA, 31703"
919,Central Peninsula General Hospital,"250 Hospital Place, Soldotna, AK, 99669"
920,Providence Valdez Medical Center,"Po Box 550, Valdez, AK, 99686"
921,Providence Seward Hospital,"417 First Avenue, Po Box 365, Seward, AK, 99664"
922,Petersburg Medical Center," Po Box 589, Petersburg, AK, 99833"
923,Wrangell Medical Center,"310 Bennett Street Po Box 1081, Wrangell, AK, 99929"
924,Cordova Community Medical Center,"Po Box 160 - 602 Chase Avenue, Cordova, AK, 99574"
925,Samuel Simmonds Memorial Hospital,"7000 Uula St, Barrow, AK, 99723"
926,South Peninsula Hospital,"4300 Bartlett St, Homer, AK, 99603"
927,Northside Hospital Cherokee,"450 Northside Cherokee Boulevard, Canton, GA, 30115"
928,Emory University Hospital,"1364 Clifton Road, Ne, Atlanta, GA, 30322"
929,Tanner Medical Center - Carrollton,"705 Dixie Street, Carrollton, GA, 30117"
930,Tanner Medical Center Villa Rica,"601 Dallas Highway, Villa Rica, GA, 30180"
931,Wellstar West Georgia Medical Center,"1514 Vernon Road, Lagrange, GA, 30240"
932,Piedmont Newton Hospital,"5126 Hospital Drive Ne, Covington, GA, 30014"
933,Gordon Hospital,"1035 Red Bud Road, Calhoun, GA, 30701"
934,Candler Hospital,"5353 Reynolds Street, Savannah, GA, 31412"
935,Southeast Georgia Health System- Brunswick Campus,"2415 Parkwood Drive, Brunswick, GA, 31520"
936,Elbert Memorial Hospital,"4 Medical Drive, Elberton, GA, 30635"
937,"St Mary's Sacred Heart Hospital, Inc","367 Clear Creek Parkway, Lavonia, GA, 30553"
938,University Hospital,"1350 Walton Way, Augusta, GA, 30901"
939,"Northeast Georgia Medical Center, Inc","743 Spring Street, Gainesville, GA, 30501"
940,Cartersville Medical Center,"960 Joe Frank Harris Parkway, Cartersville, GA, 30120"
941,Wellstar Spalding Regional Hospital,"601 South 8th Street, Griffin, GA, 30223"
942,Stephens County Hospital,"163 Hospital Drive, Toccoa, GA, 30577"
943,Au Medical Center,"1120 15th Street, Augusta, GA, 30912"
944,Wellstar Kennestone Hospital,"677 Church Street, Marietta, GA, 30060"
945,"Memorial Health Univ Med Cen, Inc","4700 Waters Avenue, Savannah, GA, 31403"
946,John D Archbold Memorial Hospital,"915 Gordon Avenue & Mimosa Drive, Thomasville, GA, 31792"
947,Trinity Hospital Of Augusta,"2260 Wrightsboro Rd, Augusta, GA, 30904"
948,Northridge Medical Center,"70 Medical Center Drive, Commerce, GA, 30529"
949,Habersham County Medical Ctr,"541 Historic Highway 441-north, Demorest, GA, 30535"
950,Wellstar Paulding Hospital,"2518 Jimmy Lee Smith Parkway, Hiram, GA, 30141"
951,St Joseph's Hospital - Savannah,"11705 Mercy Boulevard, Savannah, GA, 31419"
952,Phoebe Sumter Medical Center,"126 Highway 280 W, Americus, GA, 31719"
953,Northeast Georgia Medical Center Barrow,"316 North Broad Street, Winder, GA, 30680"
954,Clearview  Regional Medical Center,"2151 West Spring Street, Monroe, GA, 30655"
955,Murray Medical Center,"707 Old Dalton Ellijay Road, Po Box 1406, Chatsworth, GA, 30705"
956,Union General Hospital,"35 Hospital Road, Blairsville, GA, 30512"
957,Floyd Medical Center,"304 Turner Mccall Blvd P O Box 233, Rome, GA, 30162"
958,Midtown Medical Center,"710 Center St Box 951, Columbus, GA, 31901"
959,Houston Medical Center,"1601 Watson Boulevard, Warner Robins, GA, 31093"
960,Appling Hospital,"163 E Tollison Street, Baxley, GA, 31513"
961,Dorminy Medical Center,"200 Perry House Road, Box 1447, Fitzgerald, GA, 31750"
962,Piedmont Athens Regional Medical Center,"1199 Prince Avenue, Athens, GA, 30606"
963,East Georgia Regional Medical Center,"1499 Fair Road, Statesboro, GA, 30458"
964,Dekalb Medical Center,"2701 N Decatur Road, Decatur, GA, 30033"
965,Emory University Hospital Midtown,"550 Peachtree Street,  Ne, Atlanta, GA, 30308"
966,Grady Memorial Hospital,"80 Jesse Hill, Jr Drive Se, Atlanta, GA, 30303"
967,"Saint Joseph's Hospital Of Atlanta, Inc","5665 Peachtree Dunwoody Road, Atlanta, GA, 30342"
968,Piedmont Hospital,"1968 Peachtree Rd Nw, Atlanta, GA, 30309"
969,Washington County Regional Medical Center,"610 Sparta Road, Sandersville, GA, 31082"
970,Gwinnett Medical Center,"1000 Medical Center Boulevard, Lawrenceville, GA, 30045"
971,Coffee Regional Medical Center,"1101 Ocilla Road, Douglas, GA, 31533"
972,Rockdale Medical Center,"1412 Milstead Avenue, Ne, Conyers, GA, 30012"
973,Dodge County Hospital,"901 Griffin Ave, Eastman, GA, 31023"
974,Tift Regional Medical Center,"901 E 18th Street, Tifton, GA, 31793"
975,Jefferson Hospital,"1067 Peachtree St, Louisville, GA, 30434"
976,Cook  Medical Center  A Campus Of Tift Reg Med Ctr,"706 N Parrish Ave, Adel, GA, 31620"
977,Crisp Regional Hospital,"902 7th Street North, Cordele, GA, 31015"
978,Colquitt Regional Medical Center,"3131 Thomasville Hwy Box 40, Moultrie, GA, 31768"
979,"Medical Center, Navicent Health (the)","777 Hemlock Street, Macon, GA, 31201"
980,Emanuel Medical Center,"117 Kite Road, Swainsboro, GA, 30401"
981,University Hospital Mcduffie,"2460 Washington Road, Thomson, GA, 30824"
982,Burke Medical Center,"351 South Liberty Street, Waynesboro, GA, 30830"
983,Wellstar Atlanta Medical Center,"303 Parkway Drive, Ne, Atlanta, GA, 30312"
984,Grady General Hospital,"1155 5th Street, Se, Cairo, GA, 39828"
985,South Georgia Medical Center,"2501 North Patterson Street, Po Box 1727, Valdosta, GA, 31603"
986,Wayne Memorial Hospital,"865 South First Street, Jesup, GA, 31545"
987,Fairview Park Hospital,"200 Industrial Boulevard, Dublin, GA, 31021"
988,Meadows Regional Medical Center,"One Meadows Parkway, Vidalia, GA, 30474"
989,St Francis Hospital,"2122 Manchester Expressway, Columbus, GA, 31995"
990,Irwin County Hospital,"710 N Irwin Avenue, Ocilla, GA, 31774"
991,Memorial Hospital And Manor,"1500 E Shotwell Street, Bainbridge, GA, 39819"
992,Taylor Regional Hospital,"222 Perry Hwy, Hawkinsville, GA, 31036"
993,Evans Memorial Hospital,"200 N River Street, Claxton, GA, 30417"
994,Wellstar Cobb Hospital,"3950 Austell Rd, Austell, GA, 30106"
995,Southeast Georgia Health System- Camden Campus,"2000 Dan Proctor Drive, Saint Marys, GA, 31558"
996,Oconee Regional Medical Center,"821 N Cobb Street  Post Office Box 690, Milledgeville, GA, 31061"
997,Perry Hospital,"1120 Morningside Dr, Perry, GA, 31069"
998,Northside Hospital,"1000 Johnson Ferry Road, Ne, Atlanta, GA, 30342"
999,Coliseum Medical Centers,"350 Hospital Drive, Macon, GA, 31217"
1000,Southern Regional Medical Center,"11 Upper Riverdale Road, Sw, Riverdale, GA, 30274"
1001,Redmond Regional Medical Center,"501 Redmond Road, Rome, GA, 30165"
1002,Doctors Hospital,"3651 Wheeler Road, Augusta, GA, 30909"
1003,Wellstar Douglas Hospital,"8954 Hospital Drive, Douglasville, GA, 30134"
1004,Chestatee Regional Hospital,"227 Mountain Drive, Dahlonega, GA, 30533"
1005,Fannin Regional Hospital,"2855 Old Highway 5 North, Blue Ridge, GA, 30513"
1006,Flint River Community Hospital,"509 Sumter Street, Box 770, Montezuma, GA, 31063"
1007,Piedmont Henry Hospital,"1133 Eagle's Landing Parkway, Stockbridge, GA, 30281"
1008,Eastside Medical Center,"1700 Medical Way, Snellville, GA, 30078"
1009,Donalsonville Hospital Inc,"102 Hospital Cir, Donalsonville, GA, 39845"
1010,Wellstar North Fulton Hospital,"3000 Hospital Boulevard, Roswell, GA, 30076"
1011,Northside Medical Center,"100 Frist Court, Columbus, GA, 31909"
1012,Coliseum Northside Hospital,"400 Charter Boulevard, Macon, GA, 31210"
1013,Turning Point Hospital,"3015 Veterans Parkway, Moultrie, GA, 31788"
1014,Piedmont Fayette Hospital,"1255 Highway 54 West, Fayetteville, GA, 30214"
1015,Piedmont Mountainside Hospital Inc,"1266 Highway 515 South, Jasper, GA, 30143"
1016,Dekalb Medical Center At Hillandale,"2801 Dekalb Medical Parkway, Lithonia, GA, 30058"
1017,"Piedmont Newnan Hospital, Inc","745 Poplar Road, Newnan, GA, 30265"
1018,Emory Johns Creek Hospital,"6325 Hospital Parkway, Johns Creek, GA, 30097"
1019,Southeastern Regional Medical Center,"600 Celebrate Life Parkway, Newnan, GA, 30265"
1020,Sgmc Berrien Campus,"1221 E Mcpherson Avenue, Nashville, GA, 31639"
1021,Cornerstone Medical Center,"100 Gross Crescent Circle, Fort Oglethorp, GA, 30742"
1022,Southwest Georgia Regional Medical Center,"361 Randolph Street, Cuthbert, GA, 39840"
1023,Bleckley Memorial Hospital,"145 East Peacock Street, Cochran, GA, 31014"
1024,Jasper Memorial Hospital,"898 College Street, Monticello, GA, 31064"
1025,Morgan Memorial Hospital,"1077 South Main Street, Madison, GA, 30650"
1026,Miller County Hospital,"209 N Cuthbert Street, Colquitt, GA, 39837"
1027,Effingham Health System,"459 Ga Highway 119 South, Springfield, GA, 31329"
1028,Clinch Memorial Hospital,"1050 Valdosta Highway, Homerville, GA, 31634"
1029,"Medical Center Of Peach County, Navicent Health","1960 Highway 247 Connector, Byron, GA, 31008"
1030,Optim Medical Center - Jenkins,"931 East Winthrope Avenue, Millen, GA, 30442"
1031,Optim Medical Center - Screven,"215 Mims Road, Sylvania, GA, 30467"
1032,Putnam General Hospital,"101 Lake Oconee Parkway, Eatonton, GA, 31024"
1033,Pioneer Community Hospital Of Early,"11740 Columbia Street, Blakely, GA, 39823"
1034,Warm Springs Medical Center,"5995 Spring Street, Warm Springs, GA, 31830"
1035,Monroe County Hospital,"88 Martin Luther King Jr Drive, Forsyth, GA, 31029"
1036,Wellstar Sylvan Grove Hospital,"1050 Mcdonough Road, Jackson, GA, 30233"
1037,Higgins General Hospital,"200 Allen Memorial Drive, Bremen, GA, 30110"
1038,Optim Medical Center - Tattnall,"247 S Main Street, Reidsville, GA, 30453"
1039,Chatuge Regional Hospital,"110 S Main Street, Hiawassee, GA, 30546"
1040,Wills Memorial Hospital,"120 Gordon Street, Washington, GA, 30673"
1041,Sgmc Lanier Campus,"116 West Thigpen Avenue, Lakeland, GA, 31635"
1042,Bacon County Hospital,"302 South Wayne Street, Alma, GA, 31510"
1043,Phoebe Worth Medical Center,"807 South Isabella Street, Sylvester, GA, 31791"
1044,St Mary's Good Samaritan Hospital,"5401 Lake Oconee Parkway, Greensboro, GA, 30642"
1045,Polk Medical Center,"2360 Rockmart Highway, Cedartown, GA, 30125"
1046,Mitchell County Hospital,"90 Stephens Street, Camilla, GA, 31730"
1047,Brooks County Hospital,"903 N Court Street, Quitman, GA, 31643"
1048,Jeff Davis Hospital,"163 South Tallahassee Street, P O Box 1690, Hazlehurst, GA, 31539"
1049,Candler County Hospital,"400 Cedar Street, Metter, GA, 30439"
1050,Liberty Regional Medical Center,"462 E G Miles Parkway, Hinesville, GA, 31310"
1051,Mountain Lakes Medical Center,"196 Ridgecrest Circle, Clayton, GA, 30525"
1052,Children's Healthcare Of Atlanta At Egleston,"1405 Clifton Road, Ne, Atlanta, GA, 30322"
1053,Children's Healthcare Of Atlanta At Scottish Rite,"1001 Johnson Ferry Road, Atlanta, GA, 30342"
1054,The Queens Medical Center,"1301 Punchbowl St, Honolulu, HI, 96813"
1055,Maui Memorial Medical Center,"221 Mahalani Street, Wailuku, HI, 96793"
1056,Wahiawa General Hospital,"128 Lehua Street, Wahiawa, HI, 96786"
1057,Hilo Medical Center,"1190 Waianuenue Avenue, Hilo, HI, 96720"
1058,Castle Medical Center,"640 Ulukahiki St, Kailua, HI, 96734"
1059,Kuakini Medical Center,"347 North Kuakini Street, Honolulu, HI, 96817"
1060,Kaiser Foundation Hospital,"3288 Moanalua Rd, Honolulu, HI, 96819"
1061,Wilcox Memorial Hospital,"3-3420 Kuhio Highway, Lihue, HI, 96766"
1062,Kona Community Hospital,"79-1019 Haukapila Street, Kealakekua, HI, 96750"
1063,Straub Clinic And Hospital,"888 So King Street, Honolulu, HI, 96813"
1064,Pali Momi Medical Center,"98-1079 Moanalua Road, Aiea, HI, 96701"
1065,North Hawaii Community Hospital,"67 1125 Mamalahoa Highway, Kamuela, HI, 96743"
1066,Kauai Veterans Memorial Hospital,"4643 Waimea Canyon Drive, Waimea, HI, 96796"
1067,Kau Hospital,"1 Kamani Street, Pahala, HI, 96777"
1068,Kohala Hospital,"54-383 Hospital Road, Kapaau, HI, 96755"
1069,Molokai General Hospital,"280 Home Olu Place, Kaunakakai, HI, 96748"
1070,Kahuku Medical Center,"56-117 Pualalea Street, Kahuku, HI, 96731"
1071,Lanai Community Hospital,"628 7th Street, Lanai City, HI, 96763"
1072,Samuel Mahelona Memorial Hospital,"4800 Kawaihau Road, Kapaa, HI, 96746"
1073,Hale Ho'ola Hamakua,"45-547 Plumeria Street, Honokaa, HI, 96727"
1074,Kula Hospital,"100 Kokea Place, Kula, HI, 96790"
1075,Kapiolani Medical Center For Women & Children,"1319 Punahou Street, Honolulu, HI, 96826"
1076,Shriners Hospital For Children,"1310 Punahou Street, Honolulu, HI, 96826"
1077,St Luke's Magic Valley Rmc,"801 Pole Line Road West, Twin Falls, ID, 83301"
1078,St Joseph Regional Medical Center,"415 Sixth Street, Lewiston, ID, 83501"
1079,St Luke's Regional Medical Center,"190 East Bannock Street, Boise, ID, 83712"
1080,Saint Alphonsus Regional Medical Center,"1055 North Curtis Road, Boise, ID, 83706"
1081,Saint Alphonsus Medical Center - Nampa,"1512 Twelfth Avenue Road, Nampa, ID, 83686"
1082,West Valley Medical Center,"1717 Arlington Street, Caldwell, ID, 83605"
1083,Eastern Idaho Regional Medical Center,"3100 Channing Way, Idaho Falls, ID, 83404"
1084,Madison Memorial Hospital,"450 East Main Street, Rexburg, ID, 83440"
1085,Portneuf Medical Center,"777 Hospital Way, Pocatello, ID, 83201"
1086,Kootenai Health,"2003 Kootenai Health Way, Coeur D'alene, ID, 83814"
1087,Treasure Valley Hospital,"8800 West Emerald Street, Boise, ID, 83704"
1088,Mountain View Hospital,"2325 Coronado Street, Idaho Falls, ID, 83404"
1089,Northwest Specialty Hospital,"1593 East Polston Avenue, Post Falls, ID, 83854"
1090,Idaho Doctors Hospital,"350 N Meridian Street, Blackfoot, ID, 83221"
1091,Boundary Community Hospital,"6640 Kaniksu Street, Bonners Ferry, ID, 83805"
1092,North Canyon Medical Center,"267 North Canyon Dr, Gooding, ID, 83330"
1093,Nell J Redfield Memorial Hospital,"150 North 200 West, Malad, ID, 83252"
1094,Power County Hospital District,"510 Roosevelt Street, American Falls, ID, 83211"
1095,Steele Memorial Medical Center,"203 South Daisy Street, Salmon, ID, 83467"
1096,Weiser Memorial Hospital,"645 East 5th Street, Weiser, ID, 83672"
1097,Cascade Medical Center,"402 Lake Cascade Parkway, Cascade, ID, 83611"
1098,Caribou Memorial Hospital,"300 South 3rd West, Soda Springs, ID, 83276"
1099,St Luke's Jerome,"709 North Lincoln Avenue, Jerome, ID, 83338"
1100,St Luke's Elmore Medical Center,"895 North 6th East, Mountain Home, ID, 83647"
1101,St Luke's Mccall,"1000 State Street, Mc Call, ID, 83638"
1102,Teton Valley Hospital,"120 East Howard Ave, Driggs, ID, 83422"
1103,Shoshone Medical Center,"25 Jacobs Gulch Road, Kellogg, ID, 83837"
1104,Syringa General Hospital,"607 W Main Street, Grangeville, ID, 83530"
1105,Bear Lake Memorial Hospital,"164 South Fifth Street, Montpelier, ID, 83254"
1106,Benewah Community Hospital,"229 South 7th Street, St Maries, ID, 83861"
1107,Valor Health,"1202 East Locust Street, Emmett, ID, 83617"
1108,Minidoka Memorial Hospital,"1224 8th Street, Rupert, ID, 83350"
1109,Clearwater Valley Hospital & Clinics,"301 Cedar Street, Orofino, ID, 83544"
1110,St Mary's Hospital,"701 Lewiston St, Cottonwood, ID, 83522"
1111,Franklin County Medical Center,"44 North First East, Preston, ID, 83263"
1112,St Luke's Wood River Medical Center,"100 Hospital Drive, Ketchum, ID, 83340"
1113,Lost Rivers Hospital,"551 Highland Drive, Arco, ID, 83213"
1114,Bingham Memorial Hospital,"98 Poplar Street, Blackfoot, ID, 83221"
1115,Cassia Regional Hospital,"1501 Hiland Avenue, Burley, ID, 83318"
1116,Gritman Medical Center,"700 South Main Street, Moscow, ID, 83843"
1117,Bonner General Hospital,"520 North Third Avenue, Sandpoint, ID, 83864"
1118,Graham Hospital Association,"210 West Walnut Street, Canton, IL, 61520"
1119,Alton Memorial Hospital,"One Memorial Drive, Alton, IL, 62002"
1120,Presence Saint Joseph Medical Center,"333 N Madison, Joliet, IL, 60435"
1121,Loyola Gottlieb Memorial Hospital,"701 West North Ave, Melrose Park, IL, 60160"
1122,Evanston Hospital,"2650 Ridge Ave, Evanston, IL, 60201"
